"District
Number","District","Campus
Number","Campus","Region","County","School
Type","Grades
Served","Alternative
Education
Accountability","Charter","Number of
Students","%
Economically
Disadvantaged","% EB/EL
Students","Overall
Rating","Overall
Score","Student
Achievement
Rating","Student
Achievement
Score","School
Progress
Rating","School
Progress
Score","Academic
Growth
Rating","Academic
Growth
Score","Relative
Performance
Rating","Relative
Performance
Score","Closing
the Gaps Rating","Closing
the Gaps Score","Support
Label","Public
Education
Grant","Distinction
ELA/Reading","Distinction
Mathematics","Distinction
Science","Distinction
Soc Studies","Distinction
Progress","Distinction
Closing the Gaps","Distinction
Postsecondary
Readiness","US Congress
District","US Congress
Election District","TX House
District","TX House
Election District","TX Senate
District","TX Senate
Election District","Campus Enrollment
Type"
"039902","HENRIETTA ISD",,,"REGION 09: WICHITA FALLS","CLAY","District",,"No","No","989","47.3%","1.1%","B","81","B","82","C","79","C","74","C","79","C","78",,,,,,,,,"Not Earned",,,,,,,
"039902","HENRIETTA ISD","039902001","HENRIETTA H S","REGION 09: WICHITA FALLS","CLAY","High School","09 - 12","No","No","287","35.9%","0.3%","A","94","A","94","A","93","B","85","A","93","A","93",,,"Not Earned","Earned","Not Earned","Not Earned","Not Earned","Earned","Not Earned","13","13","69","69","30","30","ZONED SCHOOL-TRANSFERS ACCEPTED"
"039902","HENRIETTA ISD","039902041","HENRIETTA MIDDLE","REGION 09: WICHITA FALLS","CLAY","Middle School","06 - 08","No","No","226","47.8%","0.4%","C","76","C","78","C","75","D","69","C","75","C","72",,,"Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","13","13","69","69","30","30","ZONED SCHOOL-TRANSFERS ACCEPTED"
"039902","HENRIETTA ISD","039902101","HENRIETTA EL","REGION 09: WICHITA FALLS","CLAY","Elementary","EE - 05","No","No","476","54%","1.9%","C","70","C","72","D","66","D","66","D","66","D","66","Targeted Support",,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","13","13","69","69","30","30","ZONED SCHOOL-TRANSFERS ACCEPTED"
"039903","PETROLIA CISD",,,"REGION 09: WICHITA FALLS","CLAY","District",,"No","No","468","64.1%","0.9%","D","69","D","67","C","72","C","72","D","68","D","68",,,,,,,,,"Not Earned",,,,,,,
"039903","PETROLIA CISD","039903001","PETROLIA JUNIOR HIGH/HIGH SCHOOL","REGION 09: WICHITA FALLS","CLAY","High School","07 - 12","No","No","206","59.7%","1%","C","79","C","75","B","82","B","82","C","78","C","72",,,"Earned","Not Earned","Earned","Earned","Earned","Not Earned","Not Earned","13","13","69","69","30","30","ZONED SCHOOL-TRANSFERS ACCEPTED"
"039903","PETROLIA CISD","039903101","PETROLIA EL","REGION 09: WICHITA FALLS","CLAY","Elementary","PK - 06","No","No","262","67.6%","0.8%","F","59","F","56","F","58","F","58","F","54","D","61","Comprehensive Progress","true","Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","13","13","69","69","30","30","ZONED SCHOOL-TRANSFERS ACCEPTED"
"039904","BELLEVUE ISD",,,"REGION 09: WICHITA FALLS","CLAY","District",,"No","No","166","50.6%","1.2%","A","90","B","89","B","87","B","87","B","86","A","92",,,,,,,,,,,,,,,,
"039904","BELLEVUE ISD","039904001","BELLEVUE SCHOOL","REGION 09: WICHITA FALLS","CLAY","Elem/Secondary","PK - 12","No","No","166","50.6%","1.2%","A","90","B","89","B","87","B","87","B","86","A","92",,,"Earned","Earned","Earned","Not Earned","Earned","Earned","Earned","13","13","69","69","30","30","ZONED SCHOOL-TRANSFERS ACCEPTED"
"039905","MIDWAY ISD",,,"REGION 09: WICHITA FALLS","CLAY","District",,"No","No","131","55%","3.1%","C","74","C","76","C","77","C","77","C","72","D","68",,,,,,,,,,,,,,,,
"039905","MIDWAY ISD","039905001","MIDWAY SCHOOL","REGION 09: WICHITA FALLS","CLAY","Elem/Secondary","EE - 12","No","No","131","55%","3.1%","C","74","C","76","C","77","C","77","C","72","D","68",,,"Earned","Earned","Not Earned","Not Earned","Earned","Not Earned","Not Earned","13","13","69","69","30","30","ZONED SCHOOL-TRANSFERS ACCEPTED"
"040901","MORTON ISD",,,"REGION 17: LUBBOCK","COCHRAN","District",,"No","No","353","82.7%","23.8%","D","66","D","68","D","64","F","53","D","64","D","60",,,,,,,,,,,,,,,,
"040901","MORTON ISD","040901001","MORTON SCHOOL","REGION 17: LUBBOCK","COCHRAN","Elem/Secondary","PK - 12","No","No","353","82.7%","23.8%","D","66","D","68","D","64","F","53","D","64","D","60",,,"Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","19","19","88","88","31","31","ZONED SCHOOL-TRANSFERS ACCEPTED"
"040902","WHITEFACE CISD",,,"REGION 17: LUBBOCK","COCHRAN","District",,"No","No","329","55.3%","9.7%","C","79","C","78","C","73","D","64","C","73","B","81",,,,,,,,,,,,,,,,
"040902","WHITEFACE CISD","040902001","WHITEFACE SCHOOL","REGION 17: LUBBOCK","COCHRAN","Elem/Secondary","PK - 12","No","No","329","55.3%","9.7%","C","79","C","78","C","73","D","64","C","73","B","81",,,"Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Earned","19","19","88","88","31","31","ZONED SCHOOL-TRANSFERS ACCEPTED"
"041901","BRONTE ISD",,,"REGION 15: SAN ANGELO","COKE","District",,"No","No","234","52.1%","2.1%","A","92","A","92","A","92","C","72","A","92","A","93",,,,,,,,,,,,,,,,
"041901","BRONTE ISD","041901001","BRONTE ISD","REGION 15: SAN ANGELO","COKE","Elem/Secondary","EE - 12","No","No","234","52.1%","2.1%","A","92","A","92","A","92","C","72","A","92","A","93",,,"Earned","Not Earned","Earned","Earned","Not Earned","Earned","Earned","11","11","72","72","31","31","ZONED SCHOOL-TRANSFERS ACCEPTED"
"041902","ROBERT LEE ISD",,,"REGION 15: SAN ANGELO","COKE","District",,"No","No","275","62.2%","2.9%","A","91","A","90","A","90","C","77","A","90","A","93",,,,,,,,,"Not Earned",,,,,,,
"041902","ROBERT LEE ISD","041902001","ROBERT LEE SCHOOL","REGION 15: SAN ANGELO","COKE","Elem/Secondary","PK - 12","No","No","270","62.2%","3%","A","91","A","90","A","90","C","77","A","90","A","93",,,"Earned","Not Earned","Not Earned","Not Earned","Earned","Earned","Earned","11","11","72","72","31","31","ZONED SCHOOL-TRANSFERS ACCEPTED"
"041902","ROBERT LEE ISD","041902005","FAIRVIEW DAEP","REGION 15: SAN ANGELO","COKE","Middle School","07 - 07","No","No","1","100%","0%","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"11","11","72","72","28","28","SPECIAL ASSIGNMENT SCHOOL"
"041902","ROBERT LEE ISD","041902102","VERIBEST SPECIAL PROGRAMS","REGION 15: SAN ANGELO","COKE","Elementary","EE - EE","No","No","1","0%","0%","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"11","11","72","72","28","28","SELECTIVE ENRL SCHL-SPCL PGM-BASED"
"041902","ROBERT LEE ISD","041902180","WALL SP PROG","REGION 15: SAN ANGELO","COKE","Middle School","05 - 08","No","No","2","50%","0%","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"11","11","72","72","28","28","SELECTIVE ENRL SCHL-SPCL PGM-BASED"
"041902","ROBERT LEE ISD","041902195","FAIRVIEW SPECIAL PROGRAMS","REGION 15: SAN ANGELO","COKE","High School","11 - 11","No","No","1","100%","0%","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"11","11","72","72","28","28","SELECTIVE ENRL SCHL-SPCL PGM-BASED"
"042901","COLEMAN ISD",,,"REGION 15: SAN ANGELO","COLEMAN","District",,"No","No","793","58%","1.9%","C","78","C","79","C","78","C","76","C","78","C","77",,,,,,,,,"Not Earned",,,,,,,
"042901","COLEMAN ISD","042901001","COLEMAN H S","REGION 15: SAN ANGELO","COLEMAN","High School","09 - 12","No","No","202","42.1%","1%","B","83","B","84","B","81","C","77","B","81","B","80",,,"Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","11","11","72","72","28","28","ZONED SCHOOL-TRANSFERS ACCEPTED"
"042901","COLEMAN ISD","042901041","COLEMAN J H","REGION 15: SAN ANGELO","COLEMAN","Middle School","05 - 08","No","No","252","55.6%","3.6%","B","81","C","79","B","82","B","82","B","81","C","77",,,"Not Earned","Not Earned","Not Earned","Earned","Earned","Not Earned","Not Earned","11","11","72","72","28","28","ZONED SCHOOL-TRANSFERS ACCEPTED"
"042901","COLEMAN ISD","042901102","COLEMAN EL","REGION 15: SAN ANGELO","COLEMAN","Elementary","PK - 04","No","No","339","69.3%","1.2%","D","68","D","67","D","67","F","59","D","67","D","69","Targeted Support",,"Not Earned","Not Earned",,,"Not Earned","Not Earned","Not Earned","11","11","72","72","28","28","ZONED SCHOOL-TRANSFERS ACCEPTED"
"042903","SANTA ANNA ISD",,,"REGION 15: SAN ANGELO","COLEMAN","District",,"No","No","270","99.6%","0.4%","B","84","B","80","B","85","C","74","B","85","B","81",,,,,,,,,"Earned",,,,,,,
"042903","SANTA ANNA ISD","042903001","SANTA ANNA SECONDARY","REGION 15: SAN ANGELO","COLEMAN","High School","07 - 12","No","No","115","100%","0.9%","A","92","B","89","A","91","B","85","A","91","A","93",,,"Earned","Not Earned","Earned","Earned","Earned","Earned","Earned","11","11","72","72","28","28","ZONED SCHOOL-TRANSFERS ACCEPTED"
"042903","SANTA ANNA ISD","042903101","SANTA ANNA EL","REGION 15: SAN ANGELO","COLEMAN","Elementary","PK - 06","No","No","155","99.4%","0%","D","69","D","67","C","75","F","58","C","75","D","62",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","11","11","72","72","28","28","ZONED SCHOOL-TRANSFERS ACCEPTED"
"042905","PANTHER CREEK CISD",,,"REGION 15: SAN ANGELO","COLEMAN","District",,"No","No","144","68.1%","0.7%","B","82","B","84","B","82","D","64","B","82","C","78",,,,,,,,,,,,,,,,
"042905","PANTHER CREEK CISD","042905001","PANTHER CREEK SCHOOL","REGION 15: SAN ANGELO","COLEMAN","Elem/Secondary","PK - 12","No","No","144","68.1%","0.7%","B","82","B","84","B","82","D","64","B","82","C","78",,,"Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","11","11","72","72","28","28","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043801","IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS",,,"REGION 10: RICHARDSON","COLLIN","District",,"No","Yes","1,399","2.4%","14.4%","A","98","A","98","B","89","B","83","B","89","A","97",,,,,,,,,,,,,,,,
"043801","IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS","043801001","IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS","REGION 10: RICHARDSON","COLLIN","Elem/Secondary","KG - 12","No","Yes","1,399","2.4%","14.4%","A","98","A","98","B","89","B","83","B","89","A","97",,,"Earned","Earned","Earned","Earned","Not Earned","Earned","Earned","3","3","61","61","8","8","OPEN ENROLLMENT CHARTER SCHOOL"
"043802","LONE STAR LANGUAGE ACADEMY",,,"REGION 10: RICHARDSON","COLLIN","District",,"No","Yes","174","1.7%","18.4%","A","91","A","92","B","89","B","89","D","69","B","88",,,,,,,,,,,,,,,,
"043802","LONE STAR LANGUAGE ACADEMY","043802101","LONE STAR LANGUAGE ACADEMY","REGION 10: RICHARDSON","COLLIN","Elementary","KG - 05","No","Yes","174","1.7%","18.4%","A","91","A","92","B","89","B","89","D","69","B","88",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","4","4","66","66","8","8","OPEN ENROLLMENT CHARTER SCHOOL"
"043901","ALLEN ISD",,,"REGION 10: RICHARDSON","COLLIN","District",,"No","No","21,711","17.8%","11.3%","B","89","B","89","B","86","B","86","B","80","A","92",,,,,,,,,"Not Earned",,,,,,,
"043901","ALLEN ISD","043901001","ALLEN H S","REGION 10: RICHARDSON","COLLIN","High School","09 - 12","No","No","5,317","9.2%","5%","B","89","B","87","B","84","B","84","C","74","A","93",,,"Not Earned","Not Earned","Not Earned","Earned","Earned","Not Earned","Not Earned","3","3","67","67","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043901","ALLEN ISD","043901002","LOWERY FRESHMAN CENTER","REGION 10: RICHARDSON","COLLIN","High School","09 - 09","No","No","1,771","12.4%","7.3%","A","93","A","93","B","82","B","81","B","82","A","92",,,"Earned","Earned","Earned","Not Earned","Not Earned","Not Earned","Not Earned","3","3","67","67","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043901","ALLEN ISD","043901003","COLLIN CO J J A E P","REGION 10: RICHARDSON","COLLIN","High School","09 - 12","No","No","9","11.1%","11.1%","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"3","3","67","67","8","8","SPECIAL ASSIGNMENT SCHOOL"
"043901","ALLEN ISD","043901042","W E PETE FORD MIDDLE","REGION 10: RICHARDSON","COLLIN","Middle School","07 - 08","No","No","798","28.8%","10.8%","A","90","A","90","B","83","B","83","B","80","A","91",,,"Not Earned","Not Earned","Earned","Not Earned","Not Earned","Not Earned","Not Earned","3","3","89","89","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043901","ALLEN ISD","043901043","WALTER & LOIS CURTIS MIDDLE","REGION 10: RICHARDSON","COLLIN","Middle School","07 - 08","No","No","1,307","17.9%","7%","A","93","A","93","A","92","A","92","B","85","A","93",,,"Not Earned","Not Earned","Not Earned","Not Earned","Earned","Earned","Not Earned","3","3","89","89","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043901","ALLEN ISD","043901044","ERECKSON MIDDLE","REGION 10: RICHARDSON","COLLIN","Middle School","07 - 08","No","No","1,256","19%","8.9%","A","94","A","94","A","93","A","93","B","89","A","93",,,"Earned","Not Earned","Earned","Not Earned","Earned","Earned","Earned","3","3","67","67","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043901","ALLEN ISD","043901101","D L ROUNTREE EL","REGION 10: RICHARDSON","COLLIN","Elementary","EE - 06","No","No","497","60.4%","28.4%","D","69","D","67","D","65","D","65","D","60","C","72",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","3","3","89","89","8","8","COMBINED ENROLLMENT TYPE SCHOOL"
"043901","ALLEN ISD","043901102","ALTON BOYD EL","REGION 10: RICHARDSON","COLLIN","Elementary","KG - 06","No","No","570","69.3%","44.9%","C","78","C","73","C","77","C","74","C","77","B","81",,,"Not Earned","Not Earned","Earned",,"Not Earned","Not Earned","Not Earned","3","3","89","89","8","8","COMBINED ENROLLMENT TYPE SCHOOL"
"043901","ALLEN ISD","043901104","GENE M REED EL","REGION 10: RICHARDSON","COLLIN","Elementary","KG - 06","No","No","475","38.7%","9.3%","B","86","B","85","C","79","C","79","C","79","B","89",,,"Not Earned","Earned","Not Earned",,"Not Earned","Earned","Earned","3","3","67","67","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043901","ALLEN ISD","043901105","ALVIS C STORY EL","REGION 10: RICHARDSON","COLLIN","Elementary","KG - 06","No","No","432","28.5%","12.7%","A","92","B","86","A","92","A","92","C","72","A","92",,,"Not Earned","Not Earned","Not Earned",,"Earned","Earned","Not Earned","3","3","89","89","8","8","COMBINED ENROLLMENT TYPE SCHOOL"
"043901","ALLEN ISD","043901106","MAX O VAUGHAN EL","REGION 10: RICHARDSON","COLLIN","Elementary","KG - 06","No","No","702","20.9%","10.4%","A","92","A","93","A","92","A","92","B","86","A","91",,,"Earned","Earned","Earned",,"Earned","Not Earned","Earned","3","3","89","89","8","8","COMBINED ENROLLMENT TYPE SCHOOL"
"043901","ALLEN ISD","043901107","FLOSSIE FLOYD GREEN EL","REGION 10: RICHARDSON","COLLIN","Elementary","KG - 06","No","No","585","20.9%","16.2%","A","90","A","91","B","86","B","86","C","75","B","89",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","3","3","67","67","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043901","ALLEN ISD","043901108","FRANCES E NORTON EL","REGION 10: RICHARDSON","COLLIN","Elementary","KG - 06","No","No","729","14.1%","15.6%","A","91","A","92","B","83","B","83","B","80","A","90",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","3","3","70","70","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043901","ALLEN ISD","043901109","GEORGE J ANDERSON EL","REGION 10: RICHARDSON","COLLIN","Elementary","KG - 06","No","No","403","20.3%","13.6%","A","91","A","91","B","82","B","82","C","75","A","92",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Earned","Not Earned","3","3","89","89","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043901","ALLEN ISD","043901110","BOLIN EL","REGION 10: RICHARDSON","COLLIN","Elementary","KG - 06","No","No","521","21.1%","14.2%","B","89","A","91","B","82","B","82","C","78","B","83",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","3","3","89","89","8","8","COMBINED ENROLLMENT TYPE SCHOOL"
"043901","ALLEN ISD","043901111","KERR EL","REGION 10: RICHARDSON","COLLIN","Elementary","KG - 06","No","No","734","15.5%","12%","A","93","A","94","A","92","A","92","B","86","A","92",,,"Not Earned","Not Earned","Earned",,"Earned","Not Earned","Earned","3","3","67","67","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043901","ALLEN ISD","043901112","JAMES AND MARGIE MARION EL","REGION 10: RICHARDSON","COLLIN","Elementary","KG - 06","No","No","517","19.7%","11.4%","B","89","A","92","B","87","B","87","B","80","B","83",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","3","3","89","89","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043901","ALLEN ISD","043901113","DR E T BOON EL","REGION 10: RICHARDSON","COLLIN","Elementary","KG - 06","No","No","854","11.6%","17.3%","A","94","A","94","B","89","B","89","B","83","A","93",,,"Earned","Not Earned","Not Earned",,"Not Earned","Earned","Not Earned","3","3","67","67","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043901","ALLEN ISD","043901114","CARLENA CHANDLER EL","REGION 10: RICHARDSON","COLLIN","Elementary","KG - 06","No","No","551","15.8%","11.3%","A","91","A","91","A","91","A","91","C","74","A","92",,,"Not Earned","Not Earned","Not Earned",,"Earned","Earned","Not Earned","3","3","89","89","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043901","ALLEN ISD","043901115","MARY EVANS EL","REGION 10: RICHARDSON","COLLIN","Elementary","KG - 06","No","No","753","8.4%","10.4%","A","95","A","96","A","93","A","93","B","88","A","93",,,"Earned","Earned","Earned",,"Earned","Earned","Earned","3","3","67","67","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043901","ALLEN ISD","043901116","DAVID AND LYNDA OLSON EL","REGION 10: RICHARDSON","COLLIN","Elementary","KG - 06","No","No","507","18.3%","8.7%","A","92","A","92","B","89","B","89","B","80","A","91",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","3","3","89","89","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043901","ALLEN ISD","043901117","BEVERLY CHEATHAM EL","REGION 10: RICHARDSON","COLLIN","Elementary","EE - 06","No","No","795","13.3%","22.5%","A","94","A","94","A","93","A","93","B","86","A","93",,,"Earned","Earned","Not Earned",,"Earned","Earned","Earned","3","3","67","67","8","8","COMBINED ENROLLMENT TYPE SCHOOL"
"043901","ALLEN ISD","043901118","LOIS LINDSEY EL","REGION 10: RICHARDSON","COLLIN","Elementary","KG - 06","No","No","804","18.8%","16.4%","A","93","A","94","A","91","A","91","B","86","A","92",,,"Not Earned","Earned","Not Earned",,"Earned","Earned","Earned","3","3","67","67","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043901","ALLEN ISD","043901119","JENNY PRESTON EL","REGION 10: RICHARDSON","COLLIN","Elementary","KG - 06","No","No","824","8%","8.9%","A","93","A","93","A","92","A","92","B","80","A","92",,,"Not Earned","Not Earned","Not Earned",,"Earned","Not Earned","Not Earned","3","3","67","67","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043902","ANNA ISD",,,"REGION 10: RICHARDSON","COLLIN","District",,"No","No","5,007","53.3%","13.2%","C","78","C","77","C","78","C","78","C","75","C","78",,,,,,,,,"Not Earned",,,,,,,
"043902","ANNA ISD","043902001","ANNA H S","REGION 10: RICHARDSON","COLLIN","High School","09 - 12","No","No","1,405","52.2%","10.6%","B","88","B","81","B","87","B","87","B","83","A","90",,,"Not Earned","Not Earned","Not Earned","Earned","Earned","Earned","Earned","3","3","61","61","8","8","ZONED SCHOOL- NO TRANSFERS ACCEPTED"
"043902","ANNA ISD","043902005","ANNA ISD DAEP","REGION 10: RICHARDSON","COLLIN","Elem/Secondary","06 - 12","No","No","17","82.4%","23.5%","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"3","3","67","67","8","8","SPECIAL ASSIGNMENT SCHOOL"
"043902","ANNA ISD","043902041","ANNA MIDDLE","REGION 10: RICHARDSON","COLLIN","Middle School","06 - 08","No","No","1,088","50.6%","13.5%","C","74","C","75","C","73","C","73","D","69","C","72","Targeted Support",,"Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","3","3","61","61","8","8","ZONED SCHOOL- NO TRANSFERS ACCEPTED"
"043902","ANNA ISD","043902101","JOE K BRYANT EL","REGION 10: RICHARDSON","COLLIN","Elementary","EE - 05","No","No","625","52.6%","7.4%","B","85","C","76","B","83","B","83","C","74","A","90",,,"Not Earned","Not Earned","Not Earned",,"Earned","Earned","Not Earned","3","3","67","67","8","8","ZONED SCHOOL- NO TRANSFERS ACCEPTED"
"043902","ANNA ISD","043902103","SUE EVELYN RATTAN EL","REGION 10: RICHARDSON","COLLIN","Elementary","EE - 05","No","No","655","50.8%","9%","C","76","C","76","C","72","C","71","C","72","C","76",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","3","3","67","67","8","8","ZONED SCHOOL- NO TRANSFERS ACCEPTED"
"043902","ANNA ISD","043902105","JUDITH L HARLOW EL","REGION 10: RICHARDSON","COLLIN","Elementary","EE - 05","No","No","483","48.2%","9.1%","B","80","B","80","B","80","C","76","B","80","B","80",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","3","3","67","67","8","8","ZONED SCHOOL- NO TRANSFERS ACCEPTED"
"043902","ANNA ISD","043902107","ROSAMOND-SHERLEY EL","REGION 10: RICHARDSON","COLLIN","Elementary","EE - 05","No","No","729","65.3%","29.4%","F","57","D","65","D","62","F","56","D","62","F","38","Comprehensive Identified","true","Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","3",,"67",,"8",,"ZONED SCHOOL- NO TRANSFERS ACCEPTED"
"043902","ANNA ISD","043902197","SPECIAL PROG CTR/J J A E P","REGION 10: RICHARDSON","COLLIN","High School","09 - 11","No","No","5","40%","0%","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"3","3","67","67","8","8","SPECIAL ASSIGNMENT SCHOOL"
"043903","CELINA ISD",,,"REGION 10: RICHARDSON","COLLIN","District",,"No","No","3,888","19.1%","10.9%","B","84","B","86","C","71","C","71","D","67","C","79",,,,,,,,,"Not Earned",,,,,,,
"043903","CELINA ISD","043903001","CELINA H S","REGION 10: RICHARDSON","COLLIN","High School","09 - 12","No","No","1,071","18.2%","4%","B","85","B","85","C","72","C","70","C","72","B","84",,,"Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","3","3","66","66","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043903","CELINA ISD","043903002","COLLIN CO J J A E P","REGION 10: RICHARDSON","COLLIN","High School","09 - 12","No","No","2","0%","0%","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"3","3","67","67","8","8","SPECIAL ASSIGNMENT SCHOOL"
"043903","CELINA ISD","043903041","JERRY & LINDA MOORE MIDDLE","REGION 10: RICHARDSON","COLLIN","Middle School","06 - 08","No","No","902","19.8%","10.2%","B","86","A","90","C","75","C","75","C","70","C","78",,,"Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","Not Earned","4","4","66","66","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043903","CELINA ISD","043903101","MARCY B LYKINS EL","REGION 10: RICHARDSON","COLLIN","Elementary","01 - 05","No","No","708","22%","14.3%","B","81","B","83","C","70","C","70","D","60","C","76",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","4","4","66","66","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043903","CELINA ISD","043903103","CELINA PRI","REGION 10: RICHARDSON","COLLIN","Elementary","EE - KG","No","No","380","22.6%","29.7%","B","82","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"4","4","66","66","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043903","CELINA ISD","043903104","O'DELL EL","REGION 10: RICHARDSON","COLLIN","Elementary","01 - 05","No","No","825","15.4%","9.1%","B","82","B","86","D","69","D","69","F","59","C","74",,,"Not Earned","Not Earned","Not Earned",,"Not Earned","Not Earned","Not Earned","3","3","61","61","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043904","FARMERSVILLE ISD",,,"REGION 10: RICHARDSON","COLLIN","District",,"No","No","2,109","59.1%","14.8%","B","83","B","84","B","85","C","72","B","85","C","77",,,,,,,,,"Not Earned",,,,,,,
"043904","FARMERSVILLE ISD","043904001","FARMERSVILLE H S","REGION 10: RICHARDSON","COLLIN","High School","09 - 12","No","No","669","53.4%","9.3%","B","88","A","91","A","90","D","67","A","90","B","80",,,"Not Earned","Not Earned","Earned","Not Earned","Not Earned","Not Earned","Earned","3","3","67","67","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043904","FARMERSVILLE ISD","043904041","FARMERSVILLE J H","REGION 10: RICHARDSON","COLLIN","Middle School","07 - 08","No","No","327","58.7%","13.5%","B","89","B","85","A","91","A","91","A","90","B","85",,,"Earned","Earned","Not Earned","Earned","Earned","Not Earned","Earned","3","3","67","67","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043904","FARMERSVILLE ISD","043904101","TATUM EL","REGION 10: RICHARDSON","COLLIN","Elementary","EE - 02","No","No","515","63.9%","17.7%","C","75","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".","Not Rated",".",,,,,,,,,,"3","3","67","67","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043904","FARMERSVILLE ISD","043904102","FARMERSVILLE INT","REGION 10: RICHARDSON","COLLIN","Elementary","03 - 06","No","No","598","61.5%","19.2%","C","75","C","75","C","77","D","68","C","77","C","70",,,"Not Earned","Not Earned","Earned",,"Not Earned","Not Earned","Not Earned","3","3","67","67","8","8","ZONED SCHOOL-TRANSFERS ACCEPTED"
"043905","FRISCO ISD",,,"REGION 10: RICHARDSON","COLLIN","District",,"No","No","66,780","14.2%","11%","A","90","A","91","B","84","B","84","B","80","B","89",,,,,,,,,"Not Earned",,,,,,,
